Date,Open,Max,Min,Close,Volume
2015-09-10,1.75,1.75,1.55,1.64,9933
2015-09-11,1.6,1.71,1.6,1.71,4342
2015-09-14,1.69,1.69,1.56,1.65,4929
2015-09-15,1.65,1.7,1.58,1.67,2819
2015-09-16,1.58,1.67,1.58,1.65,244
2015-09-17,1.65,1.67,1.58,1.67,985
2015-09-18,1.67,1.67,1.65,1.67,2383
2015-09-21,1.67,1.76,1.6,1.61,6100
2015-09-22,1.61,1.7,1.61,1.7,2859
2015-09-23,1.65,1.67,1.58,1.67,17348
2015-09-24,1.71,1.71,1.69,1.69,74
2015-09-25,1.59,1.69,1.59,1.69,3832
2015-09-28,1.69,1.69,1.6,1.69,11858
2015-09-30,1.69,1.69,1.69,1.69,42
2015-10-01,1.69,1.69,1.67,1.67,138
2015-10-02,1.69,1.69,1.6,1.6,493
2015-10-05,1.58,1.69,1.58,1.58,4432
2015-10-06,1.63,1.63,1.63,1.63,100
2015-10-07,1.55,1.65,1.55,1.64,1859
2015-10-08,1.6,1.68,1.58,1.67,6994
2015-10-09,1.67,1.67,1.67,1.67,302
2015-10-12,1.68,1.69,1.68,1.69,3002
2015-10-13,1.7,1.7,1.7,1.7,1600
2015-10-14,1.71,1.71,1.6,1.66,11503
2015-10-15,1.6,1.7,1.6,1.68,11395
2015-10-16,1.7,1.7,1.65,1.67,267
2015-10-19,1.69,1.69,1.67,1.67,1519
2015-10-20,1.69,1.69,1.64,1.68,8504
2015-10-21,1.68,1.79,1.64,1.76,20480
2015-10-22,1.67,1.79,1.66,1.74,5473
2015-10-23,1.64,1.75,1.64,1.7,2536
2015-10-26,1.8,1.8,1.7,1.78,5121
2015-10-27,1.7,1.83,1.7,1.83,1195
2015-10-28,1.83,1.83,1.7,1.83,1606
2015-10-29,1.72,1.81,1.72,1.81,3702
2015-10-30,1.72,1.81,1.72,1.8,1318
2015-11-02,1.65,1.79,1.65,1.78,1696
2015-11-03,1.78,1.78,1.7,1.75,6434
2015-11-04,1.78,1.78,1.68,1.68,13571
2015-11-05,1.68,1.7,1.65,1.7,3040
2015-11-06,1.65,1.7,1.63,1.68,3359
2015-11-09,1.84,1.87,1.71,1.77,43217
2015-11-10,1.71,1.76,1.71,1.76,4990
2015-11-12,1.76,1.83,1.76,1.82,6445
2015-11-13,1.82,1.82,1.71,1.8,5902
2015-11-16,1.79,1.79,1.76,1.79,7270
2015-11-17,1.82,1.82,1.72,1.74,5939
2015-11-18,1.74,1.74,1.73,1.74,8825
2015-11-19,1.74,1.79,1.74,1.79,3308
2015-11-20,1.79,1.87,1.76,1.86,16601
2015-11-23,1.86,1.88,1.81,1.87,4256
2015-11-24,1.81,1.87,1.74,1.86,5398
2015-11-25,1.84,1.84,1.75,1.83,1746
2015-11-26,1.82,1.82,1.8,1.8,5126
2015-11-27,1.87,1.87,1.76,1.84,430
2015-11-30,1.87,1.87,1.83,1.83,4011
2015-12-01,1.82,1.85,1.8,1.84,2541
2015-12-02,1.82,1.84,1.75,1.75,15395
2015-12-03,1.79,1.79,1.69,1.75,3047
2015-12-04,1.75,1.75,1.69,1.75,7812
2015-12-07,1.79,1.79,1.75,1.78,1399
2015-12-08,1.79,1.8,1.7,1.8,6621
2015-12-09,1.77,1.77,1.7,1.77,20038
2015-12-10,1.74,1.75,1.72,1.75,5887
2015-12-11,1.77,1.8,1.71,1.75,1441
2015-12-14,1.75,1.75,1.73,1.75,1827
2015-12-15,1.75,1.75,1.75,1.75,562
2015-12-16,1.75,1.75,1.6,1.68,21628
2015-12-17,1.68,1.68,1.62,1.67,2870
2015-12-18,1.66,1.66,1.51,1.61,30384
2015-12-21,1.63,1.63,1.55,1.58,460
2015-12-22,1.63,1.63,1.57,1.62,880
2015-12-23,1.62,1.62,1.56,1.6,12525
2015-12-28,1.6,1.61,1.47,1.55,47052
2015-12-29,1.55,1.61,1.55,1.61,20639
2015-12-30,1.61,1.77,1.61,1.77,30195
2016-01-04,1.75,1.75,1.65,1.74,3696
2016-01-05,1.75,1.77,1.7,1.73,4559
2016-01-07,1.73,1.73,1.64,1.72,2063
2016-01-08,1.72,1.76,1.72,1.72,6302
2016-01-11,1.75,1.75,1.62,1.7,5364
2016-01-12,1.7,1.7,1.64,1.7,3037
2016-01-13,1.7,1.7,1.64,1.68,1261
2016-01-14,1.7,1.7,1.66,1.7,313
2016-01-15,1.7,1.7,1.62,1.69,9452
2016-01-18,1.67,1.67,1.62,1.62,4297
2016-01-19,1.57,1.67,1.57,1.58,13633
2016-01-20,1.6,1.64,1.55,1.64,10130
2016-01-21,1.68,1.68,1.63,1.64,1051
2016-01-22,1.64,1.64,1.64,1.64,68
2016-01-25,1.59,1.66,1.58,1.64,4972
2016-01-26,1.64,1.64,1.64,1.64,74
2016-01-27,1.63,1.63,1.55,1.6,10786
2016-01-28,1.6,1.6,1.58,1.58,47
2016-01-29,1.6,1.65,1.58,1.64,2067
2016-02-01,1.61,1.64,1.57,1.64,8162
2016-02-02,1.64,1.64,1.55,1.59,45272
2016-02-03,1.59,1.6,1.54,1.54,3208
2016-02-04,1.6,1.6,1.55,1.59,3378
2016-02-05,1.6,1.61,1.59,1.6,4965
2016-02-08,1.6,1.6,1.6,1.6,31
2016-02-09,1.6,1.6,1.6,1.6,902
2016-02-10,1.6,1.6,1.56,1.6,2361
2016-02-11,1.6,1.62,1.56,1.62,6802
2016-02-12,1.62,1.62,1.56,1.62,40
2016-02-15,1.57,1.63,1.55,1.62,8283
2016-02-16,1.6,1.6,1.55,1.57,20160
2016-02-17,1.55,1.56,1.53,1.56,8538
2016-02-18,1.53,1.56,1.51,1.55,7275
